player,team,salary
Dion Waiters,MIA,1.10E+07
Amir Johnson,PHI,1.10E+07
Jamal Crawford,ATL,10942762
Alec Burks,UTA,10845506
Patty Mills,SAS,10714286
Kelly Olynyk,MIA,10607169
Omer Asik,CHI,10595505
Terrence Ross,ORL,10500000
Mirza Teletovic,MIL,10500000
Bojan Bogdanovic,IND,10500000
Jon Leuer,DET,10497319
Iman Shumpert,SAC,10337079
Maurice Harkless,POR,10162922
Jared Dudley,PHO,1.00E+07
Darren Collison,IND,1.00E+07
Danny Green,SAS,1.00E+07
Meyers Leonard,POR,9904495
Tony Snell,MIL,9821429
Al Jefferson,IND,9769821
Matthew Dellavedova,MIL,9607500
Joe Johnson,SAC,9505000
Bogdan Bogdanovic,SAC,9470614
Andre Roberson,OKC,9259259
Trevor Booker,PHI,9125000
Dwight Powell,DAL,9003125
Jerryd Bayless,PHI,9.00E+06
Avery Bradley,LAC,8808989
JaMychal Green,MEM,8533333
E'Twaun Moore,NOP,8445024
Rudy Gay,SAS,8406000
Kosta Koufos,SAC,8393000
Markieff Morris,WAS,8.00E+06
Garrett Temple,SAC,8.00E+06
Vince Carter,SAC,8.00E+06
C.J. Miles,TOR,7936509
Cristiano Felicio,CHI,7843500
Shaun Livingston,GSW,7692308
Cory Joseph,IND,7630000
P.J. Tucker,HOU,7590035
Corey Brewer,LAL,7579366
Andrew Wiggins,MIN,7574322
Darrell Arthur,DEN,7464912
Channing Frye,LAL,7420912
Trevor Ariza,HOU,7420912
Al-Farouq Aminu,POR,7319035
Cole Aldrich,MIN,7300000
D.J. Augustin,ORL,7250000
Markelle Fultz,PHI,7026240
Lou Williams,LAC,7.00E+06
Kyle Korver,CLE,7.00E+06
Jeremy Lamb,CHO,7.00E+06
Boban Marjanovic,LAC,7.00E+06
Jae Crowder,UTA,6796117
Jabari Parker,MIL,6782392
Langston Galloway,DET,6666667
Lance Thomas,NYK,6655325
Ed Davis,POR,6352531
Marco Belinelli,ATL,6306060
Jonathon Simmons,ORL,6300000
Lonzo Ball,LAL,6286560
Wayne Ellington,MIA,6270000
Isaiah Thomas,LAL,6261395
Karl-Anthony Towns,MIN,6216840
Ben Simmons,PHI,6168840
Joel Embiid,PHI,6100266
Spencer Hawes,MIL,6021175
Josh McRoberts,DAL,6021175
Ish Smith,DET,6.00E+06
Alan Williams,PHO,6.00E+06
Shelvin Mack,ORL,6.00E+06
Milos Teodosic,LAC,6.00E+06
Ersan Ilyasova,ATL,6.00E+06
Dewayne Dedmon,ATL,6.00E+06
Tyler Johnson,MIA,5881260
Wesley Johnson,LAC,5881260
Alex Abrines,OKC,5725000
Jayson Tatum,BOS,5645400
D'Angelo Russell,BRK,5562360
Brandon Ingram,LAL,5519400
Patrick Beverley,LAC,5513514
Aaron Gordon,ORL,5504420
Deron Williams,BRK,5500000
Josh Smith,DET,5400000
Thabo Sefolosha,UTA,5250000
Jason Smith,WAS,5225000
Ben McLemore,MEM,5200000
Patrick Patterson,OKC,5192000
Nick Young,GSW,5192000
Brandan Wright,MEM,5179760
Josh Jackson,PHO,5090040
Marcus Morris,BOS,5.00E+06
Dirk Nowitzki,DAL,5.00E+06
Greg Monroe,BOS,5.00E+06
Mike Muscala,ATL,5.00E+06
Jahlil Okafor,BRK,4995120
Dante Exum,UTA,4992385
Alexis Ajinca,NOP,4961798
Jaylen Brown,BOS,4956480
Jameer Nelson,DEN,4736050
Kyle Singler,OKC,4666500
Justin Holiday,CHI,4615385
De'Aaron Fox,SAC,4609200
Marcus Smart,BOS,4538020
Kristaps Porzingis,NYK,4503600
Dragan Bender,PHO,4468800
Devin Harris,DEN,4402546
Ron Baker,NYK,4328000
Jamal Crawford,MIN,4328000
Aron Baynes,BOS,4328000
Alex Len,PHO,4187599
Nerlens Noel,DAL,4187599
Jonathan Isaac,ORL,4186320
Lance Stephenson,IND,4180000
Julius Randle,LAL,4149242
Kyle O'Quinn,NYK,4087500
Mario Hezonja,ORL,4078320
Kris Dunn,CHI,4046760
Jonas Jerebko,UTA,4.00E+06
Nemanja Bjelica,MIN,3949999
J.J. Barea,DAL,3903900
Quincy Pondexter,CHI,3853931
Lauri Markkanen,CHI,3821640
Nik Stauskas,BRK,3807146
Willie Cauley-Stein,SAC,3704160
Buddy Hield,SAC,3675480
Will Barton,DEN,3533333
Noah Vonleh,CHI,3505233
Frank Ntilikina,NYK,3501120
Nene Hilario,HOU,3477600
Zaza Pachulia,GSW,3477600
Troy Daniels,PHO,3408520
Emmanuel Mudiay,NYK,3381480
Jamal Murray,DEN,3355320
Elfrid Payton,PHO,3332340
Rajon Rondo,NOP,3300000
Doug McDermott,DAL,3294994
Jodie Meeks,WAS,3290000
Tyreke Evans,MEM,3290000
Tarik Black,HOU,3290000
Anthony Tolliver,DET,3290000
Dennis Smith,DAL,3218280
Zach LaVine,CHI,3202217
Ekpe Udoh,UTA,3200000
T.J. Warren,PHO,3152931
Stanley Johnson,DET,3097800
Marquese Chriss,PHO,3073800
Zach Collins,POR,3057240
James Ennis,DET,3028410
Seth Curry,DAL,3028410
Mindaugas Kuzminskas,NYK,3025035
Tomas Satoransky,WAS,3.00E+06
Rajon Rondo,CHI,3.00E+06
Lucas Nogueira,TOR,2947305
Jusuf Nurkic,POR,2947305
Malik Monk,CHO,2904480
Frank Kaminsky,CHO,2847600
Andrew Nicholson,POR,2844429
Jakob Poeltl,TOR,2825640
Luke Kennard,DET,2759280
Justise Winslow,MIA,2705040
Michael Carter-Williams,CHO,2700000
Thon Maker,MIL,2684160
Cedi Osman,CLE,2642857
Donovan Mitchell,UTA,2621280
Myles Turner,IND,2569920
Gary Harris,DEN,2550055
Domantas Sabonis,IND,2550000
Manu Ginobili,SAS,2500000
Reggie Bullock,DET,2500000
Richard Jefferson,ATL,2500000
Malcolm Delaney,ATL,2500000
Bam Adebayo,MIA,2490360
Bruno Caboclo,SAC,2451225
Ronnie Price,OKC,2442455
Trey Lyles,DEN,2441400
Dario Saric,PHI,2422560
Taurean Waller-Prince,ATL,2422560
Rodney Hood,CLE,2386864
Justin Jackson,SAC,2365560
Shabazz Napier,POR,2361360
Clint Capela,HOU,2334520
Arron Afflalo,ORL,2328652
Raymond Felton,OKC,2328652
Nick Collison,OKC,2328652
Ramon Sessions,NYK,2328652
Jarrett Jack,NYK,2328652
Jason Terry,MIL,2328652
Udonis Haslem,MIA,2328652
Dwyane Wade,MIA,2328652
David West,GSW,2328652
Richard Jefferson,DEN,2328652
Jose Calderon,CLE,2328652
Andrew Bogut,LAL,2328652
Devin Booker,PHO,2319360
Georgios Papagiannis,SAC,2301360
Dante Cunningham,BRK,2300000
Jameer Nelson,DET,2262871
Justin Patton,MIN,2247480
Guerschon Yabusele,BOS,2247480
Monta Ellis,IND,2245400
Cameron Payne,CHI,2203440
Denzel Valentine,CHI,2186400
Josh Smith,NOP,2183934
Kyle Anderson,SAS,2151704
D.J. Wilson,MIL,2135040
Matt Barnes,SAC,2133542
Derrick Rose,UTA,2116955
Marreese Speights,ORL,2116955
Michael Beasley,NYK,2116955
Aaron Brooks,MIN,2116955
Luc Mbah a Moute,HOU,2116955
JaVale McGee,GSW,2116955
Jeff Green,CLE,2116955
Tony Allen,CHI,2116955
Damien Wilkins,IND,2116955
Omri Casspi,GSW,2106470
Mario Chalmers,MEM,2106407
Darius Miller,NOP,2100000
Kelly Oubre,WAS,2093040
Juan Hernangomez,DEN,2076840
T.J. Leaf,IND,2028360
Tim Frazier,WAS,2.00E+06
Anthony Tolliver,SAC,2.00E+06
Terry Rozier,BOS,1988520
Luke Babbitt,MIA,1974159
John Collins,ATL,1936920
Anderson Varejao,POR,1913345
Rashad Vaughn,NOP,1889040
Tim Duncan,SAS,1881250
Wade Baldwin,MEM,1874400
Larry Sanders,MIL,1865547
Harry Giles,SAC,1859400
Sam Dekker,LAC,1794600
Terrance Ferguson,OKC,1785000
Henry Ellenson,DET,1780800
Eric Moreland,DET,1739333
Jerian Grant,CHI,1713840
Jarrett Allen,BRK,1713720
Mike Scott,WAS,1709538
Tyler Zeller,MIL,1709538
Quincy Acy,BRK,1709538
Malik Beasley,DEN,1700640
Mike Dunleavy,ATL,1662500
Delon Wright,TOR,1645200
OG Anunoby,TOR,1645200
Ante Zizic,CLE,1645200
Caris LeVert,BRK,1632480
Justin Anderson,PHI,1579440
Tyler Lydon,DEN,1579440
Jeff Withey,DAL,1577320
Ian Clark,NOP,1577230
Shabazz Muhammad,MIN,1577230
Willie Reed,CHI,1577230
DeAndre Liggins,MIL,1577230
DeAndre' Bembry,ATL,1567200
Joffrey Lauvergne,SAS,1524305
Jerami Grant,OKC,1524305
Johnny O'Bryant,NYK,1524305
Tyler Ennis,LAL,1524305
Julyan Stone,CHO,1524305
Sean Kilpatrick,BRK,1524305
Joe Harris,BRK,1524305
Spencer Dinwiddie,BRK,1524305
Shane Larkin,BOS,1524305
Glenn Robinson,IND,1524305
Bobby Brown,HOU,1524305
Bobby Portis,CHI,1516320
Malachi Richardson,TOR,1504560
Arron Afflalo,SAC,1500000
Norman Powell,TOR,1471382
Josh Richardson,MIA,1471382
Rondae Hollis-Jefferson,BRK,1471382
Tyus Jones,MIN,1471382
Jarell Martin,MEM,1471382
Larry Nance,CLE,1471382
Troy Williams,HOU,1471382
Chris McCullough,WAS,1471382
Raul Neto,UTA,1471382
Pat Connaughton,POR,1471382
Richaun Holmes,PHI,1471382
T.J. McConnell,PHI,1471382
Josh Huestis,OKC,1471382
Jordan Mickey,MIA,1471382
Montrezl Harrell,LAC,1471382
Joe Young,IND,1471382
Kevon Looney,GSW,1471382
Nikola Jokic,DEN,1471382
Salah Mejri,DAL,1471382
Caleb Swanigan,POR,1465920
Furkan Korkmaz,PHI,1465920
Willy Hernangomez,CHO,1435750
Kyle Kuzma,LAL,1423560
Tony Bradley,UTA,1414920
Derrick White,SAS,1404600
Josh Hart,LAL,1394520
Timothe Luwawu-Cabarrot,PHI,1386600
Kevin Martin,MIN,1360305
Brice Johnson,MEM,1331160
Pascal Siakam,TOR,1312611
Dejounte Murray,SAS,1312611
Skal Labissiere,SAC,1312611
A.J. Hammons,MIA,1312611
Deyonta Davis,MEM,1312611
Chinanu Onuaku,HOU,1312611
Damian Jones,GSW,1312611
Wayne Selden,MEM,1312611
Cheick Diallo,NOP,1312611
Joel Bolomboy,UTA,1312611
Davis Bertans,SAS,1312611
Bryn Forbes,SAS,1312611
Jake Layman,POR,1312611
Tyler Ulis,PHO,1312611
Marcus Georges-Hunt,MIN,1312611
Malcolm Brogdon,MIL,1312611
Rodney McGruder,MIA,1312611
Andrew Harrison,MEM,1312611
Ivica Zubac,LAL,1312611
Patrick McCaw,GSW,1312611
Dorian Finney-Smith,DAL,1312611
Yogi Ferrell,DAL,1312611
Treveon Graham,CHO,1312611
David Nwaba,CHI,1312611
Paul Zipser,CHI,1312611
Isaiah Whitehead,BRK,1312611
Sheldon Mac,ATL,1312611
Okaro White,ATL,1312611
Nicolas Brussino,ATL,1312611
Diamond Stone,ATL,1312611
Isaiah Taylor,ATL,1312611
Kay Felder,CHI,1312611
Fred VanVleet,TOR,1312611
Derrick Jones,PHO,1312611
Chasson Randle,NYK,1312611
Stephen Zimmerman,LAL,1312611
Semi Ojeleye,BOS,1291892
Frank Mason,SAC,1184385
Abdel Nader,BOS,1167333
Damyean Dotson,NYK,1100000
Paul Pierce,LAC,1096080
Isaiah Canaan,PHO,1069308
Wesley Iwundu,ORL,1050000
Livio Jean-Charles,SAS,1035200
Justin Hamilton,TOR,1.00E+06
Gerald Henderson,PHI,1.00E+06
Rade Zagorac,MEM,950000
Ivan Rabb,MEM,950000
Ike Anigbogu,IND,950000
Gerald Green,HOU,947248
Jason Thompson,GSW,945126
Martell Webster,WAS,830000
Frank Jackson,NOP,815615
Jordan Bell,GSW,815615
Dakari Johnson,OKC,815615
Sterling Brown,MIL,815615
Dillon Brooks,MEM,815615
Jawun Evans,LAC,815615
Sindarius Thornwell,LAC,815615
Dwayne Bacon,CHO,815615
Tyler Dorsey,ATL,815615
Davon Reed,PHO,815615
Royce O'Neale,UTA,815615
Alfonzo McKinnie,TOR,815615
Brandon Paul,SAS,815615
Khem Birch,ORL,815615
Thomas Bryant,LAL,815615
Zhou Qi,HOU,815615
Maxi Kleber,DAL,815615
Daniel Theis,BOS,815615
Sean Kilpatrick,MIL,789725
Trey Burke,NYK,784160
Alex Poythress,IND,778668
Marco Belinelli,PHI,776217
Joe Johnson,HOU,749905
Dwight Buycks,DET,748160
Tyler Cavanaugh,ATL,679919
Carlos Delfino,LAC,650000
Caron Butler,SAC,517220
Jordan Farmar,LAC,510921
Ersan Ilyasova,PHI,502328
Leandro Barbosa,PHO,5.00E+05
Tibor Pleiss,PHI,5.00E+05
Michael Gbinije,DET,5.00E+05
Aaron Gray,DET,452059
Festus Ezeli,POR,333334
C.J. Watson,ORL,333334
Gal Mekel,DAL,315760
Miroslav Raduljica,LAC,3.00E+05
Cameron Oliver,HOU,3.00E+05
Ramon Sessions,WAS,263124
Jordan Crawford,NOP,250000
Emeka Okafor,NOP,239204
Wade Baldwin,POR,222476
Isaiah Canaan,CHI,2.00E+05
Rakeem Christmas,IND,172552
DeAndre Liggins,NOP,172238
Sean Kilpatrick,LAC,172238
Rashad Vaughn,ORL,166258
Troy Williams,NYK,148318
Travis Wear,LAL,148318
Carrick Felix,WAS,140902
Brandon Rush,POR,119602
Brandon Jennings,MIL,119010
Derrick Williams,LAL,104059
K.J. McDaniels,TOR,1.00E+05
Marshall Plumlee,NYK,1.00E+05
Georges Niang,IND,1.00E+05
Quinn Cook,ATL,1.00E+05
Demetrius Jackson,BOS,92858
Kyle Collinsworth,DAL,92160
Josh Gray,PHO,92160
Naz Mitrou-Long,UTA,92160
Shaquille Harrison,PHO,92160
"Walt Lemon, Jr.",NOP,92160
Antonius Cleveland,ATL,92160
Jaylen Morris,ATL,92160
Mike James,PHO,87552
Jarell Eddie,BOS,83129
Jarell Eddie,CHI,83129
Briante Weber,MEM,83129
Demetrius Jackson,HOU,74159
Georgios Papagiannis,POR,74159
Larry Drew,NOP,74159
Scotty Hopson,DAL,74159
Isaiah Canaan,HOU,53465
Tyler Cavanaugh,ATL,50000
Kyle Collinsworth,DAL,50000
Demetrius Jackson,HOU,50000
Daniel Ochefu,WAS,50000
Michael Young,WAS,50000
Nate Wolters,UTA,50000
Naz Mitrou-Long,UTA,50000
Eric Griffin,UTA,50000
Jacob Pullen,PHI,50000
James Michael McAdoo,PHI,50000
Nigel Hayes,NYK,50000
Jalen Moore,MIL,50000
Gary Payton,MIL,50000
Matt Williams,MIA,50000
Vince Hunter,MEM,50000
Vander Blue,LAL,50000
V.J. Beachem,LAL,50000
Briante Weber,LAL,50000
Jamil Wilson,LAC,50000
Briante Weber,HOU,50000
Luis Montero,DET,50000
Gian Clavell,DAL,50000
Antonius Cleveland,DAL,50000
Diamond Stone,CHI,50000
Yakuba Ouattara,BRK,50000
Jeremy Evans,ATL,50000
Nigel Hayes,LAL,46080
Nigel Hayes,TOR,46080
Rodney Purvis,ORL,46080
Xavier Rathan-Mayes,MEM,46080
Trey McKinney-Jones,IND,46080
Jameel Warney,DAL,46080
Marcus Thornton,CLE,46080
DeAndre Liggins,ATL,26773
Axel Toupane,NOP,25000
Quinn Cook,NOP,25000
Chris Johnson,HOU,25000
Beno Udrih,DET,25000
Joel Bolomboy,MIL,22248
Jarell Eddie,CHI,17224
